dataset,model,cal_size,test_size,n_classes,BBQ_brier,BBQ_logloss,BBQ_ece-15,BBQ_accuracy,BBQ_time
maternal_health_risk,TabM_GPU,676,338,3,0.2677859594448417,0.4807645191592219,0.05405696481466293,0.8165680766105652,0.1366941500455141
splice,TabM_GPU,2126,1064,3,0.04221787524742626,0.09257343822205179,0.016482355073094368,0.9736841917037964,0.28340676613152027
students_dropout_and_academic_success,TabM_GPU,2949,1475,3,0.3204025082198132,0.5800978755566094,0.025484155863523483,0.7715254426002502,0.42322997469455004
website_phishing,TabM_GPU,902,451,3,0.12692461720785017,0.2458568192799785,0.03625712916254997,0.915742814540863,0.15631521306931973
MIC,RealMLP_GPU,1132,567,8,0.188980100971555,0.506252079096417,0.06102673336863518,0.8906525373458862,0.4740653904154897
SDSS17,RealMLP_GPU,52035,26018,3,0.04297709012181201,0.09033737309177489,0.0014402561355382204,0.9742870330810547,7.850156471133232
anneal,RealMLP_GPU,598,300,5,0.018959490412126054,0.33744303954578025,0.007768847048282623,0.9900000095367432,0.18978824093937874
hiva_agnostic,RealMLP_GPU,2563,1282,3,0.06826672472344286,0.17381307191552178,1.436471939086914e-05,0.9648985862731934,0.31718035135418177
maternal_health_risk,RealMLP_GPU,676,338,3,0.21169986406830094,0.40267468368967346,0.06784231215715408,0.8639053106307983,0.13392248284071684
splice,RealMLP_GPU,2126,1064,3,0.03978096191816458,0.08722241419218622,0.01359914243221283,0.9736841917037964,0.2830422492697835
students_dropout_and_academic_success,RealMLP_GPU,2949,1475,3,0.31735936363066247,0.5724460623773262,0.029231999069452286,0.7816948890686035,0.425055674277246
website_phishing,RealMLP_GPU,902,451,3,0.12609809727284182,0.24225792399547272,0.039690833538770676,0.9179601073265076,0.15653986390680075
MIC,BetaTabPFN_GPU,1132,567,8,0.19432276195797626,0.5132573590659754,0.07114589214324951,0.8888888955116272,0.4732774877920747
SDSS17,BetaTabPFN_GPU,52035,26018,3,0.04827619407090286,0.10206512005793227,0.0029232511296868324,0.9709816575050354,7.717235124669969
anneal,BetaTabPFN_GPU,598,300,5,0.017457063936642214,0.5901010456272644,0.006616238970309496,0.9900000095367432,0.1892491690814495
hiva_agnostic,BetaTabPFN_GPU,2563,1282,3,0.0682667247234593,0.17381307191567602,1.436471939086914e-05,0.9648985862731934,0.30741260293871164
maternal_health_risk,BetaTabPFN_GPU,676,338,3,0.3022286488952215,0.5286022084886038,0.05357946455478668,0.7721893787384033,0.12741440255194902
splice,BetaTabPFN_GPU,2126,1064,3,0.041937484746309366,0.090907952370411,0.011482205241918564,0.9746240377426147,0.27475084364414215
students_dropout_and_academic_success,BetaTabPFN_GPU,2949,1475,3,0.3213197241953911,0.5784302570537403,0.03424299880862236,0.7688135504722595,0.41930428333580494
website_phishing,BetaTabPFN_GPU,902,451,3,0.13396296754927417,0.2560726243490027,0.028320355340838432,0.9223946928977966,0.1466640643775463
MIC,ModernNCA_GPU,1132,567,8,0.19891715635139903,0.5287961518470836,0.06648514419794083,0.8906525373458862,0.46184979006648064
SDSS17,ModernNCA_GPU,52035,26018,3,0.03814970138566872,0.07851171779199297,0.0016010585241019726,0.9764778017997742,7.583999722264707
anneal,ModernNCA_GPU,598,300,5,0.0066608404998777515,0.29277733456011784,0.0016718506813049316,0.996666669845581,0.19398729503154755
hiva_agnostic,ModernNCA_GPU,2563,1282,3,0.06826672465758737,0.17381307134939863,1.4007091522216797e-05,0.9648985862731934,0.3185267634689808
maternal_health_risk,ModernNCA_GPU,676,338,3,0.21931252272513152,0.4072743819395231,0.044810958206653595,0.8461538553237915,0.13519901502877474
splice,ModernNCA_GPU,2126,1064,3,0.04639445474733305,0.10570600475218515,0.025105062872171402,0.9746240377426147,0.2877820497378707
students_dropout_and_academic_success,ModernNCA_GPU,2949,1475,3,0.3256658064913884,0.585933392659323,0.019100375473499298,0.7783051133155823,0.42476181499660015
website_phishing,ModernNCA_GPU,902,451,3,0.1288185616408876,0.24362634025185914,0.01574154570698738,0.9179601073265076,0.15482537355273962
MIC,Mitra_GPU,1132,567,8,0.19338636953675103,0.5109831850018475,0.06168612092733383,0.8888888955116272,0.4721058374270797
anneal,Mitra_GPU,598,300,5,0.006808592904462734,0.29635190892174423,0.0018597866874188185,0.996666669845581,0.1960466457530856
maternal_health_risk,Mitra_GPU,676,338,3,0.19502648864715727,0.38885750847176626,0.060121089220047,0.8875739574432373,0.13652177341282368
splice,Mitra_GPU,2126,1064,3,0.0411385449930977,0.08970028032273768,0.017703033983707428,0.9736841917037964,0.28495559748262167
students_dropout_and_academic_success,Mitra_GPU,2949,1475,3,0.3174337020999764,0.5701602654713666,0.028012972325086594,0.7715254426002502,0.42563209030777216
website_phishing,Mitra_GPU,902,451,3,0.11638524540006566,0.21854934048326288,0.021799374371767044,0.9223946928977966,0.15627204440534115
MIC,TabDPT_GPU,1132,567,8,0.20068213435865542,0.6707771188848239,0.059270501136779785,0.8835979104042053,0.46555118076503277
SDSS17,TabDPT_GPU,52035,26018,3,0.04102757096590499,0.087419493149751,0.0014977562241256237,0.9749019742012024,7.465824844315648
anneal,TabDPT_GPU,598,300,5,0.013414479536957844,0.34266417809850674,0.0016723275184631348,0.9933333396911621,0.19235309306532145
hiva_agnostic,TabDPT_GPU,2563,1282,3,0.0682667247234593,0.17381307191567602,1.436471939086914e-05,0.9648985862731934,0.3078026119619608
maternal_health_risk,TabDPT_GPU,676,338,3,0.1848492854570655,0.37232254135208104,0.03248140588402748,0.8757396340370178,0.13319803308695555
splice,TabDPT_GPU,2126,1064,3,0.0999751923352962,0.19342405724367706,0.010259152390062809,0.932330846786499,0.2925305813550949
students_dropout_and_academic_success,TabDPT_GPU,2949,1475,3,0.3295038224439215,0.5955548285258222,0.01917325332760811,0.7647457718849182,0.42345061153173447
website_phishing,TabDPT_GPU,902,451,3,0.12286787492910374,0.2391577374155377,0.02129773050546646,0.9135255217552185,0.1576316049322486
