dataset,model,cal_size,test_size,n_classes,BBQ_brier,BBQ_logloss,BBQ_ece-15,BBQ_accuracy,BBQ_time
MiceProtein,LightGBM,972,108,8,0.0,0.0,1.1920928955078125e-07,1.0,0.39869341102894396
MiceProtein,LinearModel,972,108,8,1.59137442040725e-05,0.0027335811861370555,0.0027286410331726074,1.0,0.39934840297792107
MiceProtein,NeuralNetFastAI,972,108,8,0.0,0.0,1.1920928955078125e-07,1.0,0.3950923999072984
MiceProtein,NeuralNetTorch,972,108,8,0.0,0.0,1.1920928955078125e-07,1.0,0.3955144790234044
MiceProtein,RandomForest,972,108,8,0.081245951982324,0.2851615913402639,0.026959221810102463,0.9537037014961243,0.4152058360632509
MiceProtein,XGBoost,972,108,8,0.028224012066043667,0.05137786543789563,0.021721787750720978,0.9907407164573669,0.4070459079230204
Traffic_violations,CatBoost,63306,7034,3,0.26852343692154873,0.40527514514771357,0.005602528341114521,0.7989764213562012,12.311165087972768
Traffic_violations,ExtraTrees,63306,7034,3,0.2778069377010462,0.4206834514576587,0.010343781672418118,0.7907307147979736,11.972570305108093
Traffic_violations,LightGBM,63306,7034,3,0.2723108268147608,0.41319155257717294,0.010811159387230873,0.7958487272262573,12.378638121997938
Traffic_violations,LinearModel,63306,7034,3,0.2768347713858017,0.41889553458679657,0.008161868900060654,0.7914415597915649,12.22597254498396
Traffic_violations,NeuralNetFastAI,63306,7034,3,0.27598902459149394,0.4158819851642643,0.009970034472644329,0.7921524047851562,12.233645108994097
Traffic_violations,NeuralNetTorch,63306,7034,3,0.28925025395719406,0.44301619298286976,0.012310132384300232,0.7819163799285889,12.477313315030187
Traffic_violations,RandomForest,63306,7034,3,0.2738616003904307,0.4136860589917707,0.01725940592586994,0.7965595722198486,11.79153096000664
Traffic_violations,XGBoost,63306,7034,3,0.27341384083146053,0.41099962745258267,0.009193915873765945,0.7925788760185242,12.12460581806954
UMIST_Faces_Cropped,CatBoost,517,58,20,0.025419023350926287,1.5112813998297847,0.015973607078194618,0.982758641242981,0.7107219470199198
UMIST_Faces_Cropped,ExtraTrees,517,58,20,0.04761198417662663,1.5874059836438734,0.02080095000565052,0.9655172228813171,0.718343683052808
UMIST_Faces_Cropped,LightGBM,517,58,20,0.06854656691510863,3.0174969845608373,0.02837228775024414,0.9655172228813171,0.7106546389404684
UMIST_Faces_Cropped,LinearModel,517,58,20,0.06870543890433639,3.0154590394037792,0.030492961406707764,0.9655172228813171,0.7095033980440348
UMIST_Faces_Cropped,NeuralNetFastAI,517,58,20,0.03445747900817743,1.5058154070383485,0.017214655876159668,0.982758641242981,0.700984827009961
UMIST_Faces_Cropped,NeuralNetTorch,517,58,20,0.03448289802526562,1.5058439336274032,0.01719874143600464,0.982758641242981,0.6987496870569885
UMIST_Faces_Cropped,RandomForest,517,58,20,0.05076384462203917,3.014517541606125,0.025555472820997238,0.9655172228813171,0.7186695360578597
UMIST_Faces_Cropped,XGBoost,517,58,20,0.07336708320308812,0.32694052655942957,0.06954242289066315,0.931034505367279,0.7198586099548265
analcatdata_authorship,CatBoost,756,85,4,0.04462580931537745,0.13003431703955956,0.023828793317079544,0.9647058844566345,0.1717704510083422
analcatdata_authorship,ExtraTrees,756,85,4,0.04893113001506619,0.14695234377313807,0.032170429825782776,0.9647058844566345,0.18006861198227853
analcatdata_authorship,LightGBM,756,85,4,0.023529417467747366,1.0274945916832585,0.011758804321289062,0.9882352948188782,0.17085128207691014
analcatdata_authorship,LinearModel,756,85,4,0.023527502892555965,0.11895572421927149,0.011732041835784912,0.9882352948188782,0.17046066094189882
analcatdata_authorship,NeuralNetFastAI,756,85,4,0.023506249464179226,0.08960482347261249,0.01175844669342041,0.9882352948188782,0.16599664802197367
analcatdata_authorship,NeuralNetTorch,756,85,4,0.02353705474575483,1.0277086483317457,0.011546671390533447,0.9882352948188782,0.16673373198136687
analcatdata_authorship,RandomForest,756,85,4,0.047266703280700595,0.11182848906824788,0.015340547077357769,0.9764705896377563,0.17789959395304322
analcatdata_authorship,XGBoost,756,85,4,0.012564412927493052,0.02035813612422573,0.0135501092299819,0.9882352948188782,0.17280761408619583
analcatdata_dmft,CatBoost,717,80,6,0.831693358101005,1.7869830847880777,0.006085097789764404,0.20000000298023224,0.2662215849850327
analcatdata_dmft,ExtraTrees,717,80,6,0.831690497793276,1.7869740279974173,0.006147310137748718,0.20000000298023224,0.264762892969884
analcatdata_dmft,LightGBM,717,80,6,0.8317102193590806,1.7870352151411566,0.006136685609817505,0.20000000298023224,0.25837021693587303
analcatdata_dmft,LinearModel,717,80,6,0.8270048559870297,1.775303454092399,0.02549990452826023,0.22499999403953552,0.26815797900781035
analcatdata_dmft,NeuralNetFastAI,717,80,6,0.8302523668504863,1.7835452721879979,0.014351020567119122,0.21250000596046448,0.2700730940559879
analcatdata_dmft,NeuralNetTorch,717,80,6,0.8233980520472699,1.7656559846121929,0.04720594361424446,0.25,0.26624649204313755
analcatdata_dmft,RandomForest,717,80,6,0.8316823891978418,1.786952559834408,0.006129011511802673,0.20000000298023224,0.2663835340645164
analcatdata_dmft,XGBoost,717,80,6,0.8277486439677506,1.7768089503094404,0.027054928243160248,0.22499999403953552,0.26613423007074744
artificial-characters,CatBoost,9196,1022,10,0.07663628031419602,0.19507486409334873,0.03882757946848869,0.9559686779975891,3.444211492082104
artificial-characters,ExtraTrees,9196,1022,10,0.08013512294993133,0.21092623505998803,0.012286815792322159,0.9549902081489563,3.507630910957232
artificial-characters,LightGBM,9196,1022,10,0.06459109124912278,0.17484823851845124,0.039870813488960266,0.9647749662399292,3.3717079169582576
artificial-characters,LinearModel,9196,1022,10,0.7378530522040236,1.6657416178020543,0.03831533342599869,0.3659491240978241,4.147476840065792
artificial-characters,NeuralNetFastAI,9196,1022,10,0.3627484548222057,0.6204164710154177,0.0283243115991354,0.7123287916183472,3.5372369409305975
artificial-characters,NeuralNetTorch,9196,1022,10,0.3487811935491812,0.5976148386299194,0.04098271578550339,0.7211350202560425,3.5478666669223458
artificial-characters,RandomForest,9196,1022,10,0.07806556765886051,0.20345964559230997,0.00862395204603672,0.9549902081489563,3.5111665130825713
artificial-characters,XGBoost,9196,1022,10,0.07446538429007103,0.19860307806426472,0.047038547694683075,0.9520547986030579,3.4042961560189724
autoUniv-au6-750,CatBoost,675,75,8,0.8414922887140416,1.9695403745159252,0.010311754420399666,0.2666666805744171,0.3387843439122662
autoUniv-au6-750,ExtraTrees,675,75,8,0.8381218707796708,1.9647462238551665,0.041938893496990204,0.2933333218097687,0.3383834019768983
autoUniv-au6-750,LightGBM,675,75,8,0.8333736387637161,1.9451285873630952,0.15537479519844055,0.3466666638851166,0.33592876500915736
autoUniv-au6-750,LinearModel,675,75,8,0.851963429174888,1.99555570621897,0.005975672975182533,0.2266666740179062,0.3453304789727554
autoUniv-au6-750,NeuralNetFastAI,675,75,8,0.8525171591257971,1.9973736676854932,0.007391005754470825,0.2266666740179062,0.33855726895853877
autoUniv-au6-750,NeuralNetTorch,675,75,8,0.8538350301058294,2.0008156867031333,0.019567005336284637,0.2266666740179062,0.33552781003527343
autoUniv-au6-750,RandomForest,675,75,8,0.7936602933470879,1.8590992065389655,0.11776148527860641,0.3733333349227905,0.3397504740860313
autoUniv-au6-750,XGBoost,675,75,8,0.816122704493599,1.9128415688848786,0.06719019263982773,0.3199999928474426,0.3328118100762367
autoUniv-au7-1100,CatBoost,990,110,5,0.7187581176825101,1.3960169729044827,0.12170751392841339,0.41818180680274963,0.2751678260974586
autoUniv-au7-1100,ExtraTrees,990,110,5,0.7382149914714994,1.4239574097256715,0.05710732936859131,0.37272727489471436,0.2791747919982299
autoUniv-au7-1100,LightGBM,990,110,5,0.7053567701475876,1.3737541073667516,0.06060264632105827,0.4363636374473572,0.27980773500166833
autoUniv-au7-1100,LinearModel,990,110,5,0.7701014074270136,1.5378180710801503,0.05817381665110588,0.3181818127632141,0.28556121001020074
autoUniv-au7-1100,NeuralNetFastAI,990,110,5,0.7244015425595361,1.4058123342284894,0.06009043753147125,0.3909091055393219,0.28746333299204707
autoUniv-au7-1100,NeuralNetTorch,990,110,5,0.7193656332695013,1.3961357392735885,0.05058326572179794,0.38181817531585693,0.28704504296183586
autoUniv-au7-1100,RandomForest,990,110,5,0.7285346707583058,1.4489309779689519,0.10223250836133957,0.37272727489471436,0.28754929499700665
autoUniv-au7-1100,XGBoost,990,110,5,0.691997941967885,1.350071663216688,0.05186282470822334,0.4272727370262146,0.28684119100216776
autoUniv-au7-700,CatBoost,630,70,3,0.5476761901860541,0.9099118033896232,0.12303128838539124,0.4571428596973419,0.12930973106995225
autoUniv-au7-700,ExtraTrees,630,70,3,0.5637084541580163,0.9481049416370171,0.16500341892242432,0.44285714626312256,0.13048760103993118
autoUniv-au7-700,LightGBM,630,70,3,0.5148823152003964,0.8539281179015195,0.12544794380664825,0.6142857074737549,0.12986278196331114
autoUniv-au7-700,LinearModel,630,70,3,0.667905756776064,1.1049277045480523,0.056772537529468536,0.3857142925262451,0.12870128697250038
autoUniv-au7-700,NeuralNetFastAI,630,70,3,0.6249060786267644,1.0451635688575314,0.0787026584148407,0.44285714626312256,0.12990255607292056
autoUniv-au7-700,NeuralNetTorch,630,70,3,0.6395929004554713,1.0676482495051218,0.18088379502296448,0.5,0.12972401699516922
autoUniv-au7-700,RandomForest,630,70,3,0.5483347438795133,0.9124421551499036,0.16816416382789612,0.5,0.12928416999056935
autoUniv-au7-700,XGBoost,630,70,3,0.5523772585921596,0.9131468477303739,0.12860311567783356,0.4571428596973419,0.12979729496873915
balance-scale,CatBoost,562,63,3,0.04521511621572463,0.11638651745318415,0.06968231499195099,0.9841269850730896,0.11556369403842837
balance-scale,ExtraTrees,562,63,3,0.13903420764493032,0.3126061895644227,0.12465336918830872,0.8888888955116272,0.11990890197921544
balance-scale,LightGBM,562,63,3,0.061637076089911834,0.1427399550829304,0.05566893517971039,0.9523809552192688,0.11440284305717796
balance-scale,LinearModel,562,63,3,0.07082860221814814,0.14337260894473214,0.03694203868508339,0.9523809552192688,0.11518646008335054
balance-scale,NeuralNetFastAI,562,63,3,0.0171075096433251,0.031610805939094815,0.025306764990091324,1.0,0.1132763660280034
balance-scale,NeuralNetTorch,562,63,3,1.9954372676197017e-05,0.0031142020119797912,0.003108799457550049,1.0,0.10979521495755762
balance-scale,RandomForest,562,63,3,0.14149468187733708,0.31869779220818295,0.0983843207359314,0.9047619104385376,0.11973639507777989
balance-scale,XGBoost,562,63,3,0.057849300349257005,0.13670065510302315,0.07781833410263062,0.9523809552192688,0.11483627697452903
baseball,CatBoost,1206,134,3,0.08802239507357883,0.19804045012774443,0.030155766755342484,0.9402984976768494,0.18422797205857933
baseball,ExtraTrees,1206,134,3,0.08743809533047504,0.19314866966215471,0.05743302404880524,0.9402984976768494,0.1871530630160123
baseball,LightGBM,1206,134,3,0.07590456631249987,0.17295751166493264,0.03124147281050682,0.9402984976768494,0.18643917597364634
baseball,LinearModel,1206,134,3,0.0725862146206988,0.16589265460998245,0.02887347899377346,0.9552238583564758,0.1862431310582906
baseball,NeuralNetFastAI,1206,134,3,0.07386972474673723,0.14256624512169958,0.052407629787921906,0.9552238583564758,0.18709130107890815
baseball,NeuralNetTorch,1206,134,3,0.0931412036362321,0.1830551432579186,0.061761632561683655,0.9402984976768494,0.1847918808925897
baseball,RandomForest,1206,134,3,0.08017960911298705,0.17346892301678277,0.054400283843278885,0.9477611780166626,0.19037631095852703
baseball,XGBoost,1206,134,3,0.07681057532109965,0.17268186990467133,0.035970889031887054,0.9552238583564758,0.187665909063071
car,CatBoost,1555,173,4,1.0350087956988085e-05,0.0015769258705891234,0.0015747547149658203,1.0,0.2744412199826911
car,ExtraTrees,1555,173,4,0.01903098307957392,0.057171055453474874,0.006092987954616547,0.9884393215179443,0.2801744209136814
car,LightGBM,1555,173,4,0.0,0.0,5.960464477539063e-08,1.0,0.2696336020017043
car,LinearModel,1555,173,4,0.07371818299055911,0.11691053759696493,0.04521530121564865,0.9190751314163208,0.2939251819625497
car,NeuralNetFastAI,1555,173,4,0.0,0.0,5.960464477539063e-08,1.0,0.27355385501869023
car,NeuralNetTorch,1555,173,4,0.0,0.0,5.960464477539063e-08,1.0,0.2670897509669885
car,RandomForest,1555,173,4,0.03537348770728815,0.10810303079737797,0.016543490812182426,0.9826589822769165,0.2764436360448599
car,XGBoost,1555,173,4,1.589967725960591e-07,0.0002639011322555787,0.0002651214599609375,1.0,0.27772988902870566
cardiotocography,CatBoost,1913,213,10,0.0,0.0,5.960464477539063e-08,1.0,0.7837850110372528
cardiotocography,ExtraTrees,1913,213,10,0.0,0.0,5.960464477539063e-08,1.0,0.7558953750412911
cardiotocography,LightGBM,1913,213,10,0.0,0.0,5.960464477539063e-08,1.0,0.7908736859681085
cardiotocography,LinearModel,1913,213,10,0.0,0.0,5.960464477539063e-08,1.0,0.79296491201967
cardiotocography,NeuralNetFastAI,1913,213,10,0.0,0.0,5.960464477539063e-08,1.0,0.756854981998913
cardiotocography,NeuralNetTorch,1913,213,10,0.0,0.0,5.960464477539063e-08,1.0,0.759124688920565
cardiotocography,RandomForest,1913,213,10,0.0,0.0,5.960464477539063e-08,1.0,0.7576502279844135
cardiotocography,XGBoost,1913,213,10,0.0,0.0,5.960464477539063e-08,1.0,0.7895699340151623
cmc,CatBoost,1325,148,3,0.4967124655203546,0.8362809538220678,0.1137961819767952,0.5945945978164673,0.22430497698951513
cmc,ExtraTrees,1325,148,3,0.5145474950384067,0.8737299149248406,0.07789858430624008,0.5608108043670654,0.22368839010596275
cmc,LightGBM,1325,148,3,0.5319877782412312,0.9010212935472477,0.11375588178634644,0.5743243098258972,0.224102389998734
cmc,LinearModel,1325,148,3,0.5295240913182591,0.8940755242540617,0.1072893887758255,0.6283783912658691,0.22440410894341767
cmc,NeuralNetFastAI,1325,148,3,0.5125817835494842,0.8655145111090179,0.12916851043701172,0.5675675868988037,0.22582779498770833
cmc,NeuralNetTorch,1325,148,3,0.5068057725342527,0.8622105270061962,0.16609734296798706,0.6418918967247009,0.2242670920677483
cmc,RandomForest,1325,148,3,0.5143898554946872,0.8698234245942071,0.07666893303394318,0.5675675868988037,0.22295578906778246
cmc,XGBoost,1325,148,3,0.5133321654314182,0.87616571197492,0.06327182054519653,0.5810810923576355,0.2228127249982208
cnae-9,CatBoost,972,108,9,0.07336982281792619,0.2404555453277044,0.044252268970012665,0.9629629850387573,0.46792511106468737
cnae-9,ExtraTrees,972,108,9,0.07792996803653003,0.19035987980449806,0.03603079169988632,0.9629629850387573,0.4660563669167459
cnae-9,LightGBM,972,108,9,0.06548659026227976,0.2038898137132375,0.04147965461015701,0.9537037014961243,0.4606334660202265
cnae-9,LinearModel,972,108,9,0.05822647261056261,0.16711010482857008,0.04297398030757904,0.9537037014961243,0.46321994299069047
cnae-9,NeuralNetFastAI,972,108,9,0.06251900843310557,0.1608647926457633,0.04347442835569382,0.9537037014961243,0.4652591359335929
cnae-9,NeuralNetTorch,972,108,9,0.0737447017361904,0.17031105642975,0.04215586185455322,0.9351851940155029,0.4637824030360207
cnae-9,RandomForest,972,108,9,0.07743952680842046,0.20340589087605604,0.07503874599933624,0.9629629850387573,0.47258445795159787
cnae-9,XGBoost,972,108,9,0.10449874920663488,0.32670932026486266,0.06921473145484924,0.9351851940155029,0.45998116896953434
collins,CatBoost,900,100,30,0.8745903735506525,2.7545180368102593,0.10891324281692505,0.23000000417232513,1.495449003065005
collins,ExtraTrees,900,100,30,0.8946843114186569,2.8897844363493532,0.13912110030651093,0.23000000417232513,1.5065183490514755
collins,LightGBM,900,100,30,0.8669784737578058,2.7746982815784738,0.038578249514102936,0.2800000011920929,1.505405910895206
collins,LinearModel,900,100,30,0.8686449011345786,2.787318890751495,0.15023162961006165,0.30000001192092896,1.4966386480955407
collins,NeuralNetFastAI,900,100,30,0.8645126592409003,2.7088718379910874,0.04590626433491707,0.27000001072883606,1.4974525609286502
collins,NeuralNetTorch,900,100,30,0.843028716427402,2.633387754834777,0.11007564514875412,0.25999999046325684,1.5153760600369424
collins,RandomForest,900,100,30,0.9041199461578202,2.922049625654028,0.05555618926882744,0.20000000298023224,1.493057806044817
collins,XGBoost,900,100,30,0.9062052126654172,2.934963324703547,0.09364839643239975,0.1599999964237213,1.4998822250636294
connect-4,CatBoost,60801,6756,3,0.1784424848840087,0.3248732356474743,0.01384781301021576,0.873741865158081,11.556557008065283
connect-4,ExtraTrees,60801,6756,3,0.25096362327468075,0.45572177241604844,0.01523163914680481,0.8214920163154602,12.834125499008223
connect-4,LightGBM,60801,6756,3,0.17845337243913975,0.32783702739635573,0.015596740879118443,0.8734458088874817,11.489033235004172
connect-4,LinearModel,60801,6756,3,0.33502586459317485,0.5965497979746902,0.013267024420201778,0.7572528123855591,13.025236521963961
connect-4,NeuralNetFastAI,60801,6756,3,0.16749652584413427,0.30586320031899983,0.018740897998213768,0.8823268413543701,11.385871450067498
connect-4,NeuralNetTorch,60801,6756,3,0.17498083713437476,0.31535696621727966,0.02247602865099907,0.8759620785713196,11.403584929998033
connect-4,RandomForest,60801,6756,3,0.26177187159195686,0.476012338511389,0.014157833531498909,0.815423309803009,12.764039281988516
connect-4,XGBoost,60801,6756,3,0.17918192812535652,0.3275499291808331,0.016592994332313538,0.873001754283905,11.4642630770104
dilbert,CatBoost,9000,1000,5,0.025091037216103194,0.061760788954350915,0.008185938000679016,0.984000027179718,1.5816129950108007
dilbert,ExtraTrees,9000,1000,5,0.04070257233398965,0.08112865525604472,0.012564767152071,0.9710000157356262,1.943407861981541
dilbert,LightGBM,9000,1000,5,0.011634274244943302,0.12415768487548777,0.00567441014572978,0.9950000047683716,1.491403945023194
dilbert,LinearModel,9000,1000,5,0.09180525532848142,0.19801040157758573,0.014247816056013107,0.9399999976158142,1.6539248899789527
dilbert,NeuralNetFastAI,9000,1000,5,0.020482381988695567,0.049863889452785165,0.005281886085867882,0.9869999885559082,1.5765174339758232
dilbert,NeuralNetTorch,9000,1000,5,0.011186083463342014,0.025748449994643544,0.009897259995341301,0.9890000224113464,1.5827414080267772
dilbert,RandomForest,9000,1000,5,0.06571618131296253,0.12507048484498764,0.011227582581341267,0.9599999785423279,1.9572171539766714
dilbert,XGBoost,9000,1000,5,0.019359495828394472,0.04939662803526498,0.006542732939124107,0.9869999885559082,1.546851541963406
dna,CatBoost,2867,319,3,0.06328479656304487,0.12370006623573689,0.02763662301003933,0.9561128616333008,0.3592529590241611
dna,ExtraTrees,2867,319,3,0.07994777096759456,0.17263673047994205,0.02941526472568512,0.9529780745506287,0.3875066000036895
dna,LightGBM,2867,319,3,0.07282480351217077,0.1729863841415985,0.017242787405848503,0.9561128616333008,0.35738174605648965
dna,LinearModel,2867,319,3,0.11699875744382147,0.2597093984347809,0.024296022951602936,0.931034505367279,0.3550512020010501
dna,NeuralNetFastAI,2867,319,3,0.07998196381967278,0.16618193330505315,0.01607244648039341,0.9435736536979675,0.36360110400710255
dna,NeuralNetTorch,2867,319,3,0.08421059766707159,0.1685850433997337,0.01919792965054512,0.9404388666152954,0.36356338404584676
dna,RandomForest,2867,319,3,0.095165392394751,0.18576614246125867,0.02658684551715851,0.9404388666152954,0.3853339039487764
dna,XGBoost,2867,319,3,0.0631943769070688,0.13655896014801952,0.015505051240324974,0.962382435798645,0.3549842609791085
eucalyptus,CatBoost,662,74,5,0.4204098036178182,0.750452539949161,0.14503248035907745,0.662162184715271,0.21723199600819498
eucalyptus,ExtraTrees,662,74,5,0.37892900611336966,0.6959450612677116,0.08058016002178192,0.7027027010917664,0.2169189000269398
eucalyptus,LightGBM,662,74,5,0.3791925239298843,0.656576703366851,0.10937942564487457,0.6891891956329346,0.21707557700574398
eucalyptus,LinearModel,662,74,5,0.46602678069363623,0.8500017020168663,0.19380693137645721,0.662162184715271,0.2122557070106268
eucalyptus,NeuralNetFastAI,662,74,5,0.41696935596750623,0.7539981015666785,0.09028346836566925,0.662162184715271,0.21235995600000024
eucalyptus,NeuralNetTorch,662,74,5,0.43350613262444004,0.7096149248834351,0.07552443444728851,0.6486486196517944,0.21533101401291788
eucalyptus,RandomForest,662,74,5,0.40335650838647596,0.7059780241851659,0.10801220685243607,0.6756756901741028,0.2168480260297656
eucalyptus,XGBoost,662,74,5,0.43727195979335337,0.8128888655864029,0.1188138797879219,0.6891891956329346,0.2172298840014264
eye_movements,CatBoost,9842,1094,3,0.3538048862359652,0.6044221162453739,0.028973013162612915,0.7303473353385925,1.518855124944821
eye_movements,ExtraTrees,9842,1094,3,0.31888531640772494,0.5457884228133576,0.03685981035232544,0.7778793573379517,1.5296305280644447
eye_movements,LightGBM,9842,1094,3,0.28069890855997526,0.49637147750372623,0.03181074187159538,0.8135283589363098,1.4482160670449957
eye_movements,LinearModel,9842,1094,3,0.5655351774105293,0.9240994062939499,0.01945892907679081,0.511883020401001,1.5194776710122824
eye_movements,NeuralNetFastAI,9842,1094,3,0.43472875135912065,0.7268470747538553,0.0512414313852787,0.6791590452194214,1.5256278620800003
eye_movements,NeuralNetTorch,9842,1094,3,0.41494019685585004,0.6981936357711565,0.052052006125450134,0.6864716410636902,1.5403969190083444
eye_movements,RandomForest,9842,1094,3,0.3791459095390735,0.6421004049898494,0.020098529756069183,0.7138939499855042,1.536526539013721
eye_movements,XGBoost,9842,1094,3,0.3188753915793723,0.5508098893604391,0.03309502452611923,0.7696526646614075,1.4949545779963955
fabert,CatBoost,7413,824,7,0.35330128733432814,0.732120378202004,0.05919204279780388,0.7305825352668762,2.219397434964776
fabert,ExtraTrees,7413,824,7,0.3711635561118546,0.7433817529508853,0.05469561368227005,0.7038834691047668,2.22615307290107
fabert,LightGBM,7413,824,7,0.3582332657725376,0.7333507391651801,0.06186957657337189,0.7172330021858215,2.2099222240503877
fabert,LinearModel,7413,824,7,0.49519066487835095,1.0667348389892461,0.09137309342622757,0.6322815418243408,2.0683662539813668
fabert,NeuralNetFastAI,7413,824,7,0.3877752624576963,0.8220569523138771,0.0460345521569252,0.719660222530365,2.1750276619568467
fabert,NeuralNetTorch,7413,824,7,0.41317613959217475,0.8474731517849364,0.07387062907218933,0.7014563083648682,2.1915572499856353
fabert,RandomForest,7413,824,7,0.38220747615263545,0.7764938490776614,0.03552256152033806,0.708737850189209,2.2278635730035603
fabert,XGBoost,7413,824,7,0.3628462841010202,0.7701211224434262,0.06650339066982269,0.7245145440101624,2.2162427509902045
first-order-theorem-proving,CatBoost,5506,612,6,0.5084658449827119,1.063929348925727,0.0545797161757946,0.6160130500793457,1.4752677039941773
first-order-theorem-proving,ExtraTrees,5506,612,6,0.5135469032271778,1.0638872037307998,0.04589131474494934,0.6045751571655273,1.486357376910746
first-order-theorem-proving,LightGBM,5506,612,6,0.5115571687933689,1.0755185414022344,0.05446105822920799,0.6258170008659363,1.4838372799567878
first-order-theorem-proving,LinearModel,5506,612,6,0.6447749218675722,1.37124134734112,0.04271369427442551,0.4869281053543091,1.492930825916119
